Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 33482804k(12500280k free), swap 40426976k(8624048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.368: [GC (Allocation Failure) 0.368: [DefNew: 959K->64K(960K), 0.0015647 secs] 65228K->65204K(524224K), 0.0015956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.373: [GC (Allocation Failure) 0.373: [DefNew: 960K->63K(960K), 0.0016450 secs] 66100K->66085K(524224K), 0.0016907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.377: [GC (Allocation Failure) 0.377: [DefNew: 959K->64K(960K), 0.0016792 secs] 66981K->66969K(524224K), 0.0017089 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.383: [GC (Allocation Failure) 0.383: [DefNew: 960K->64K(960K), 0.0018504 secs] 67866K->67838K(524224K), 0.0018833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.388: [GC (Allocation Failure) 0.388: [DefNew: 960K->64K(960K), 0.0016902 secs] 68734K->68715K(524224K), 0.0017211 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.393: [GC (Allocation Failure) 0.393: [DefNew: 960K->63K(960K), 0.0016631 secs] 69613K->69596K(524224K), 0.0016932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.397: [GC (Allocation Failure) 0.397: [DefNew: 959K->63K(960K), 0.0016665 secs] 70492K->70461K(524224K), 0.0016974 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.402: [GC (Allocation Failure) 0.402: [DefNew: 959K->63K(960K), 0.0016556 secs] 71358K->71339K(524224K), 0.0016841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.407: [GC (Allocation Failure) 0.407: [DefNew: 959K->64K(960K), 0.0017107 secs] 72235K->72214K(524224K), 0.0017438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.411: [GC (Allocation Failure) 0.411: [DefNew: 960K->64K(960K), 0.0017208 secs] 73111K->73092K(524224K), 0.0017504 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.415: [GC (Allocation Failure) 0.415: [DefNew: 960K->64K(960K), 0.0016564 secs] 73990K->73954K(524224K), 0.0016856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.419: [GC (Allocation Failure) 0.419: [DefNew: 960K->63K(960K), 0.0019779 secs] 74851K->74824K(524224K), 0.0020236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.423: [GC (Allocation Failure) 0.423: [DefNew: 959K->63K(960K), 0.0015201 secs] 75720K->75707K(524224K), 0.0015546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.427: [GC (Allocation Failure) 0.427: [DefNew: 959K->63K(960K), 0.0016353 secs] 76605K->76592K(524224K), 0.0016635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.431: [GC (Allocation Failure) 0.431: [DefNew: 959K->63K(960K), 0.0021311 secs] 77488K->77468K(524224K), 0.0021608 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.436: [GC (Allocation Failure) 0.436: [DefNew: 959K->63K(960K), 0.0015420 secs] 78365K->78349K(524224K), 0.0015752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.440: [GC (Allocation Failure) 0.440: [DefNew: 959K->63K(960K), 0.0016217 secs] 79245K->79238K(524224K), 0.0016623 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.444: [GC (Allocation Failure) 0.444: [DefNew: 959K->64K(960K), 0.0015843 secs] 80135K->80116K(524224K), 0.0016275 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.449: [GC (Allocation Failure) 0.449: [DefNew: 960K->64K(960K), 0.0015704 secs] 81013K->81001K(524224K), 0.0016065 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.452: [GC (Allocation Failure) 0.452: [DefNew: 960K->63K(960K), 0.0016531 secs] 81898K->81883K(524224K), 0.0016809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.456: [GC (Allocation Failure) 0.456: [DefNew: 959K->63K(960K), 0.0015954 secs] 82780K->82763K(524224K), 0.0016286 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.460: [GC (Allocation Failure) 0.460: [DefNew: 959K->64K(960K), 0.0017785 secs] 83660K->83643K(524224K), 0.0018098 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.464: [GC (Allocation Failure) 0.465: [DefNew: 960K->64K(960K), 0.0020447 secs] 84540K->84525K(524224K), 0.0021719 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.470: [GC (Allocation Failure) 0.470: [DefNew: 960K->63K(960K), 0.0019996 secs] 85421K->85414K(524224K), 0.0020412 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.473: [GC (Allocation Failure) 0.473: [DefNew: 959K->63K(960K), 0.0018752 secs] 86312K->86307K(524224K), 0.0019087 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.479: [GC (Allocation Failure) 0.479: [DefNew: 959K->63K(960K), 0.0017893 secs] 87204K->87193K(524224K), 0.0018286 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.482: [GC (Allocation Failure) 0.482: [DefNew: 959K->63K(960K), 0.0016923 secs] 88089K->88082K(524224K), 0.0017425 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.488: [GC (Allocation Failure) 0.488: [DefNew: 959K->64K(960K), 0.0017628 secs] 88979K->88971K(524224K), 0.0018030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.491: [GC (Allocation Failure) 0.491: [DefNew: 960K->63K(960K), 0.0017720 secs] 89867K->89858K(524224K), 0.0018048 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.497: [GC (Allocation Failure) 0.497: [DefNew: 959K->64K(960K), 0.0016782 secs] 90756K->90748K(524224K), 0.0017223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.501: [GC (Allocation Failure) 0.501: [DefNew: 960K->63K(960K), 0.0018606 secs] 91644K->91636K(524224K), 0.0018930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.506: [GC (Allocation Failure) 0.506: [DefNew: 959K->63K(960K), 0.0016923 secs] 92532K->92525K(524224K), 0.0017303 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.510: [GC (Allocation Failure) 0.510: [DefNew: 959K->63K(960K), 0.0017390 secs] 93421K->93414K(524224K), 0.0017791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.516: [GC (Allocation Failure) 0.516: [DefNew: 959K->64K(960K), 0.0018796 secs] 94311K->94304K(524224K), 0.0019189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.519: [GC (Allocation Failure) 0.519: [DefNew: 960K->64K(960K), 0.0017593 secs] 95200K->95193K(524224K), 0.0017933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.525: [GC (Allocation Failure) 0.525: [DefNew: 960K->63K(960K), 0.0019953 secs] 96090K->96083K(524224K), 0.0020429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
